Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,274500,1,6500,2.43,275000,275500,266000,21669476,5874450961500,1604803477896000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1645000,1,52000,3.26,1695000,1697000,1626000,4520990,7489699281000,1201659940425000,730492365,STK
3,402340,KR7402340004,SK스퀘어,KOSPI,,1154000,1,37000,3.31,1182000,1183000,1130000,658916,759169507500,152279977444000,131958386,STK
4,009150,KR7009150004,삼성전기,KOSPI,,1558000,1,55000,3.66,1593000,1600000,1511000,968103,1504282797000,116372778368000,74693696,STK
5,005380,KR7005380001,현대차,KOSPI,,453000,1,34500,8.24,424000,456000,421500,1203960,537907833750,92755267998000,204757766,STK
6,373220,KR7373220003,LG에너지솔루션,KOSPI,,369500,1,4000,1.09,366000,371500,358500,243455,88824353500,86463000000000,234000000,STK
7,207940,KR7207940008,삼성바이오로직스,KOSPI,,1548000,2,-16000,-1.02,1557000,1574000,1546000,29916,46418943500,71658392148000,46290951,STK
8,032830,KR7032830002,삼성생명,KOSPI,,301000,1,9500,3.26,297000,309500,293500,393407,117956229796,60200000000000,200000000,STK
9,028260,KR7028260008,삼성물산,KOSPI,,369000,1,4000,1.1,369500,375000,360500,276255,101489609250,59839837389000,162167581,STK
10,012450,KR7012450003,한화에어로스페이스,KOSPI,,1160000,2,-25000,-2.11,1163000,1178000,1130000,172790,198972929500,59813545160000,51563401,STK
11,105560,KR7105560007,KB금융,KOSPI,,168500,1,400,0.24,167100,169800,166400,951351,159988557050,59764883179000,354687734,STK
12,000270,KR7000270009,기아,KOSPI,,141700,1,4300,3.13,137400,142400,137200,771767,108962687510,55321521816600,390412998,STK
13,329180,KR7329180004,HD현대중공업,KOSPI,,510000,1,14000,2.82,509000,517000,500000,217718,110849102000,53530224750000,104961225,STK
14,034020,KR7034020008,두산에너빌리티,KOSPI,,82600,1,1700,2.1,84100,85700,81000,2119063,174686604500,52910350659600,640561146,STK
