Date,Open,High,Low,Close,Volume,Change
2026-08-25,10000,13000,9090,10010,14817280,
2026-08-26,10150,10500,8960,9010,5866706,-0.0999000999000998
2026-08-27,8840,8840,7410,7610,7045365,-0.1553829078801332
2026-08-28,7510,7830,7140,7440,5692771,-0.0223390275952694
2026-08-31,7250,7590,7200,7320,2947485,-0.0161290322580645
2026-09-01,7360,7740,7060,7310,3879270,-0.0013661202185791
2026-09-02,7200,7200,6570,6890,3103227,-0.057455540355677126
2026-09-03,6830,6890,6090,6190,3146483,-0.10159651669085634
2026-09-04,6180,6790,6030,6710,5180928,0.08400646203554119
2026-09-07,6680,7040,6600,6700,2067843,-0.0014903129657227732
2026-09-08,6670,6750,6300,6430,1709657,-0.040298507462686595
2026-09-09,6400,7470,6250,6860,14626473,0.06687402799377917
2026-09-10,6800,6920,6400,6530,3008838,-0.04810495626822153
2026-09-11,6460,6610,6260,6260,1754290,-0.04134762633996936
